Node,degree,weighted_degree,in_strength,out_strength,pagerank,betweenness,weak_component,weak_component_size,Role,Relationship,Request,family_role,family,arrested,neighbor_count,surviving_neighbor_count,cross_family_reach,role_priority_score,current_pagerank,current_betweenness,current_weighted_degree,current_component_size,pagerank_pct,betweenness_pct,current_pagerank_pct,current_weighted_degree_pct,role_priority_score_pct,future_arrest_priority_score
N11,15,34.0,34.0,30.0,0.02381423954628406,0.03392094017094017,1,135,boss Cosa Nostra in Messina,,,boss Cosa Nostra in Messina,Unknown,0.0,15,10,12,5,0.03843814637594767,0.008820356621613045,15.0,16.0,1.0,1.0,1.0,1.0,0.9705882352941176,0.9970588235294117
N3,8,8.0,8.0,8.0,0.007859021490494299,0.007455969955969955,1,135,boss family ''Caltagirone'',,,boss,Caltagirone,0.0,8,7,6,5,0.022929816156467806,0.0015229392727964977,7.0,16.0,0.8529411764705882,0.9411764705882353,0.9509803921568627,0.9656862745098039,0.9705882352941176,0.9294117647058823
N6,10,11.0,11.0,11.0,0.010151420431380311,0.016886816886816883,1,135,,sighted with 3 4 5 7 and 8,,,,0.0,10,8,3,0,0.029054319719546855,0.001967129894028809,9.0,16.0,0.9852941176470589,0.9754901960784313,0.9656862745098039,0.9852941176470589,0.2696078431372549,0.9068627450980392
N5,10,11.0,11.0,11.0,0.010151420431380311,0.016886816886816883,1,135,,sighted with 11 12 and 13,,,,0.0,10,8,3,0,0.029054319719546855,0.001967129894028809,9.0,16.0,0.9852941176470589,0.9754901960784313,0.9656862745098039,0.9852941176470589,0.2696078431372549,0.9068627450980392
N79,5,5.0,5.0,5.0,0.007128565119601091,0.0101010101010101,1,135,enterpreneur,external partnership,,enterpreneur,Unknown,0.0,5,3,4,1,0.02964603074386645,0.0003807348181991243,3.0,4.0,0.8431372549019608,0.9509803921568627,0.9901960784313726,0.8676470588235294,0.6813725490196079,0.8901960784313726
N39,7,7.0,7.0,7.0,0.00861649824510286,0.02342333592333592,1,135,executive family ''Batanesi'',,,executive,Batanesi,0.0,7,3,3,3,0.020209464010348222,0.0,3.0,4.0,0.8725490196078431,0.9901960784313726,0.7696078431372549,0.8676470588235294,0.9313725490196079,0.8752450980392158
N14,7,12.0,10.0,12.0,0.007960911325071532,0.005536130536130536,1,135,boss family ''Mazzaroti'',,arrest request denied,boss,Mazzaroti,0.0,7,4,3,5,0.018664737895870386,0.001332571863696935,7.0,16.0,0.8627450980392157,0.9313725490196079,0.696078431372549,0.9656862745098039,0.9705882352941176,0.8661764705882352
N34,6,9.0,12.0,9.0,0.009493901098760924,1.214063714063714e-05,1,135,,tapped with 18,,,,0.0,6,2,2,0,0.029479099839513218,0.00019036740909956216,2.0,3.0,0.9607843137254902,0.9019607843137255,0.9803921568627451,0.7598039215686274,0.2696078431372549,0.844607843137255
N40,4,4.0,4.0,3.0,0.006112546250625124,0.002946127946127946,1,135,member family ''Mazzaroti'',,,member,Mazzaroti,0.0,4,3,3,2,0.020209464010348222,0.0,3.0,4.0,0.7941176470588235,0.9215686274509803,0.7696078431372549,0.8676470588235294,0.8774509803921569,0.8365196078431373
N13,6,12.0,12.0,12.0,0.009128389265713932,0.0,1,135,enterpreneur,nephew of 11,,enterpreneur,Unknown,0.0,6,3,3,1,0.020622020079451967,0.0,6.0,16.0,0.9509803921568627,0.45098039215686275,0.9411764705882353,0.9313725490196079,0.6813725490196079,0.8176470588235294
N2,2,2.0,2.0,2.0,0.008663423896306971,0.0,2,3,boss family ''Barcellona Pozzo di Gotto'',,,boss,Barcellona Pozzo di Gotto,0.0,2,2,1,5,0.02020946401034823,0.0,2.0,3.0,0.9117647058823529,0.45098039215686275,0.8676470588235294,0.7598039215686274,0.9705882352941176,0.7840686274509804
N0,2,2.0,2.0,2.0,0.008663423896306971,0.0,2,3,cooperating witness,,,cooperating witness,Unknown,0.0,2,2,2,1,0.02020946401034823,0.0,2.0,3.0,0.9117647058823529,0.45098039215686275,0.8676470588235294,0.7598039215686274,0.6813725490196079,0.7551470588235294
N16,1,1.0,1.0,1.0,0.008663423896306971,0.0,3,2,boss family ''Brancaccio'',,,boss,Brancaccio,0.0,1,1,1,5,0.02020946401034823,0.0,1.0,2.0,0.9117647058823529,0.45098039215686275,0.8676470588235294,0.6127450980392157,0.9705882352941176,0.754656862745098
N42,3,3.0,3.0,3.0,0.005694726996018897,0.0,1,135,boss family ''Tortorici'',,,boss,Tortorici,0.0,3,3,3,5,0.020209464010348226,0.0,3.0,4.0,0.7745098039215687,0.45098039215686275,0.7892156862745098,0.8676470588235294,0.9705882352941176,0.7517156862745098
N41,3,3.0,3.0,3.0,0.005694726996018898,0.0,1,135,member family ''Mazzaroti'',,,member,Mazzaroti,0.0,3,3,2,2,0.020209464010348226,0.0,3.0,4.0,0.7843137254901961,0.45098039215686275,0.7892156862745098,0.8676470588235294,0.8774509803921569,0.7448529411764706
N4,6,6.0,6.0,6.0,0.006447727941103838,0.0,1,135,enterpreneur,,,enterpreneur,Unknown,0.0,6,6,6,1,0.019661400149008024,0.0,6.0,16.0,0.8186274509803921,0.45098039215686275,0.7303921568627451,0.9313725490196079,0.6813725490196079,0.7318627450980392
N1,2,2.0,2.0,2.0,0.008663423896306971,0.0,2,3,,conversation with 0,,,,0.0,2,2,1,0,0.02020946401034823,0.0,2.0,3.0,0.9117647058823529,0.45098039215686275,0.8676470588235294,0.7598039215686274,0.2696078431372549,0.7139705882352941
N84,4,4.0,4.0,4.0,0.004744661609808434,0.0,1,135,enterpreneur,external partnership,,enterpreneur,Unknown,0.0,4,2,1,1,0.02020946401034823,0.0,2.0,3.0,0.7254901960784313,0.45098039215686275,0.8676470588235294,0.7598039215686274,0.6813725490196079,0.7085784313725491
N87,4,4.0,4.0,4.0,0.004744661609808434,0.0,1,135,enterpreneur,sighted with 85,,enterpreneur,Unknown,0.0,4,2,1,1,0.02020946401034823,0.0,2.0,3.0,0.7254901960784313,0.45098039215686275,0.8676470588235294,0.7598039215686274,0.6813725490196079,0.7085784313725491
N86,4,4.0,4.0,4.0,0.004744661609808434,0.0,1,135,enterpreneur,sighted with 87,,enterpreneur,Unknown,0.0,4,2,1,1,0.02020946401034823,0.0,2.0,3.0,0.7254901960784313,0.45098039215686275,0.8676470588235294,0.7598039215686274,0.6813725490196079,0.7085784313725491
N93,5,17.0,17.0,17.0,0.0096221573086339,0.0,1,135,,sighted with various members of families,,,,0.0,5,1,5,0,0.02020946401034823,0.0,1.0,2.0,0.9705882352941176,0.45098039215686275,0.8676470588235294,0.6127450980392157,0.2696078431372549,0.699264705882353
N56,4,5.0,2.0,4.0,0.0034399894439339452,0.01078088578088578,1,135,,wife of an inmate,arrest request denied,,,0.0,4,2,3,0,0.008781362524742133,9.518370454978108e-05,2.0,3.0,0.6372549019607843,0.9607843137254902,0.6470588235294118,0.7598039215686274,0.2696078431372549,0.692156862745098
N7,6,6.0,6.0,6.0,0.006447727941103838,0.0,1,135,,sighted with 3 4 5 6 7 and 8,,,,0.0,6,6,1,0,0.019661400149008024,0.0,6.0,16.0,0.8186274509803921,0.45098039215686275,0.7303921568627451,0.9313725490196079,0.2696078431372549,0.6906862745098039
N8,6,6.0,6.0,6.0,0.006447727941103838,0.0,1,135,,sighted with 3 4 5 6 and 7,,,,0.0,6,6,1,0,0.01966140014900802,0.0,6.0,16.0,0.8186274509803921,0.45098039215686275,0.7107843137254902,0.9313725490196079,0.2696078431372549,0.6857843137254902
N9,6,6.0,6.0,6.0,0.006447727941103838,0.0,1,135,,sighted with 3 5 6 7 4 and 8,,,,0.0,6,6,1,0,0.01966140014900802,0.0,6.0,16.0,0.8186274509803921,0.45098039215686275,0.7107843137254902,0.9313725490196079,0.2696078431372549,0.6857843137254902
N74,1,1.0,1.0,1.0,0.008663423896306971,0.0,4,2,,son of 22,,,,0.0,1,1,0,0,0.02020946401034823,0.0,1.0,2.0,0.9117647058823529,0.45098039215686275,0.8676470588235294,0.6127450980392157,0.2696078431372549,0.6845588235294118
N73,1,1.0,1.0,1.0,0.008663423896306971,0.0,4,2,,mother of 74 and wife of 22,,,,0.0,1,1,0,0,0.02020946401034823,0.0,1.0,2.0,0.9117647058823529,0.45098039215686275,0.8676470588235294,0.6127450980392157,0.2696078431372549,0.6845588235294118
N17,1,1.0,1.0,1.0,0.008663423896306971,0.0,3,2,,tapped with 16,,,,0.0,1,1,1,0,0.02020946401034823,0.0,1.0,2.0,0.9117647058823529,0.45098039215686275,0.8676470588235294,0.6127450980392157,0.2696078431372549,0.6845588235294118
N10,5,5.0,5.0,5.0,0.00443555900188527,0.0,1,135,enterpreneur,,,enterpreneur,Unknown,0.0,5,3,3,1,0.011487413488436375,0.0,3.0,16.0,0.7058823529411765,0.45098039215686275,0.6666666666666666,0.8676470588235294,0.6813725490196079,0.675
N95,4,4.0,4.0,3.0,0.003188485596354795,0.0,1,135,member family ''Batanesi'',,,member,Batanesi,0.0,4,1,1,2,0.02020946401034823,0.0,1.0,2.0,0.6078431372549019,0.45098039215686275,0.8676470588235294,0.6127450980392157,0.8774509803921569,0.6693627450980393
N92,2,2.0,2.0,2.0,0.0035996925511276945,0.0,1,135,lawyer,in contact with 91 and 36,,lawyer,Unknown,0.0,2,1,1,1,0.02020946401034823,0.0,1.0,2.0,0.6617647058823529,0.45098039215686275,0.8676470588235294,0.6127450980392157,0.6813725490196079,0.663235294117647
N91,2,2.0,2.0,2.0,0.0035996925511276945,0.0,1,135,car electrician,in contact with 36,,car electrician,Unknown,0.0,2,1,1,1,0.02020946401034823,0.0,1.0,2.0,0.6617647058823529,0.45098039215686275,0.8676470588235294,0.6127450980392157,0.6813725490196079,0.663235294117647
N82,3,3.0,3.0,3.0,0.005012004627636952,0.0,1,135,,sighted with 80 and 81,,,,0.0,3,2,0,0,0.019880222431813473,0.0,2.0,4.0,0.7598039215686274,0.45098039215686275,0.75,0.7598039215686274,0.2696078431372549,0.6465686274509804
N81,3,3.0,3.0,3.0,0.005012004627636952,0.0,1,135,,sighted with 80 and 82,,,,0.0,3,2,0,0,0.019880222431813473,0.0,2.0,4.0,0.7598039215686274,0.45098039215686275,0.75,0.7598039215686274,0.2696078431372549,0.6465686274509804
N28,5,5.0,5.0,5.0,0.004839607275744119,0.0,1,135,,sighted with 11 13 and 5,,,,0.0,5,3,2,0,0.011787676168850148,0.0,3.0,16.0,0.7450980392156863,0.45098039215686275,0.6764705882352942,0.8676470588235294,0.2696078431372549,0.6460784313725491
N109,3,5.0,1.0,4.0,0.0018570831490930832,4.856254856254856e-05,1,135,on-existent enterpreneur created during a scam,,,on-existent enterpreneur created during a scam,Unknown,0.0,3,2,2,1,0.005609064240996275,9.518370454978108e-05,2.0,3.0,0.3137254901960784,0.9117647058823529,0.5931372549019608,0.7598039215686274,0.6813725490196079,0.6291666666666667
N100,4,9.0,4.0,9.0,0.004310919865382456,0.0,1,135,farmer,external partnership,,farmer,Unknown,0.0,4,1,3,1,0.015574646095765733,0.0,1.0,3.0,0.696078431372549,0.45098039215686275,0.6862745098039216,0.6127450980392157,0.6813725490196079,0.6264705882352941
N125,2,3.0,3.0,0.0,0.003337807810414815,0.0,1,135,member family ''Batanesi'',,,member,Batanesi,0.0,2,1,2,2,0.0067640185325967845,0.0,1.0,3.0,0.6274509803921569,0.45098039215686275,0.6127450980392157,0.6127450980392157,0.8774509803921569,0.6105392156862746
N143,2,3.0,1.0,3.0,0.002111331710883336,0.0,1,135,member family ''Mistretta'',,,member,Mistretta,0.0,2,2,0,2,0.004911981801186944,0.0,3.0,16.0,0.4019607843137255,0.45098039215686275,0.5784313725490197,0.8676470588235294,0.8774509803921569,0.5965686274509805
N144,2,2.0,1.0,2.0,0.0019014339439666307,0.0,1,135,member family ''Mistretta'',,,member,Mistretta,0.0,2,2,0,2,0.004423655295655274,0.0,2.0,16.0,0.3235294117647059,0.45098039215686275,0.5686274509803921,0.7598039215686274,0.8774509803921569,0.5529411764705883
N83,2,2.0,2.0,2.0,0.003104159263430133,0.0,1,135,,sighted with 15 and 79,,,,0.0,2,1,1,0,0.01143138043389949,0.0,1.0,4.0,0.5882352941176471,0.45098039215686275,0.6568627450980392,0.6127450980392157,0.2696078431372549,0.5509803921568628
N107,1,1.0,1.0,0.0,0.002410948731124061,0.0,5,2,bar owner,phone tapped with 106,,bar owner,Unknown,0.0,1,1,1,1,0.005609064240996275,0.0,1.0,2.0,0.45098039215686275,0.45098039215686275,0.5931372549019608,0.6127450980392157,0.6813725490196079,0.5419117647058823
N101,1,2.0,2.0,0.0,0.0024310500092092147,0.0,1,135,,phone tapped with 14,,,,0.0,1,1,1,0,0.0075649811444128065,0.0,2.0,16.0,0.46078431372549017,0.45098039215686275,0.6274509803921569,0.7598039215686274,0.2696078431372549,0.5411764705882353
N57,1,1.0,1.0,1.0,0.002034213750302246,0.0,1,135,,daughter of an inmate,uninvolved,,,0.0,1,1,0,0,0.0067640185325967845,0.0,1.0,3.0,0.38235294117647056,0.45098039215686275,0.6127450980392157,0.6127450980392157,0.2696078431372549,0.4884803921568628
N46,4,4.0,4.0,4.0,0.0035518080581682975,0.0,1,135,boss family ''Tortorici'',,,boss,Tortorici,0.0,4,0,4,5,0.0030319235052025904,0.0,0.0,1.0,0.6470588235294118,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.9705882352941176,0.47401960784313724
N111,1,1.0,1.0,0.0,0.001697851208202776,0.0,1,135,,phone tapping with 109,,,,0.0,1,1,0,0,0.007799639926210572,0.0,1.0,3.0,0.24509803921568626,0.45098039215686275,0.6372549019607843,0.6127450980392157,0.2696078431372549,0.46029411764705885
N72,2,4.0,4.0,4.0,0.004227310463313443,0.0,1,135,construction worker,,lack of evidence,construction worker,Unknown,0.0,2,0,0,1,0.0030319235052025904,0.0,0.0,1.0,0.6862745098039216,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.6813725490196079,0.4549019607843138
N31,2,3.0,4.0,3.0,0.00392771250648648,0.0,1,135,enterpreneur,,,enterpreneur,Unknown,0.0,2,0,1,1,0.0030319235052025904,0.0,0.0,1.0,0.6764705882352942,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.6813725490196079,0.4524509803921569
N90,2,4.0,4.0,4.0,0.0030260628453545857,0.0,1,135,member family ''Batanesi'',,,member,Batanesi,0.0,2,0,0,2,0.0030319235052025904,0.0,0.0,1.0,0.5784313725490197,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.8774509803921569,0.4475490196078432
